event_id,host,scheduled_iso,fault_class,duration_seconds,parameters,study
gpu-s2-0132,cnsm-gpu-01,2026-07-28T18:26:29+00:00,disk_io_contention,530,size=2G iodepth=16 numjobs=2,cnsm2027-study
gpu-s2-0133,cnsm-gpu-01,2026-07-28T21:29:02+00:00,gpu_memory_pressure,650,fraction=0.8,cnsm2027-study
gpu-s2-0134,cnsm-gpu-01,2026-07-29T13:46:06+00:00,gpu_utilization_spike,799,matrix_size=6144,cnsm2027-study
gpu-s2-0135,cnsm-gpu-01,2026-07-29T14:18:43+00:00,gpu_memory_pressure,611,fraction=0.8,cnsm2027-study
gpu-s2-0136,cnsm-gpu-01,2026-07-29T15:38:51+00:00,cpu_contention_during_training,1097,cpu=0 load=90,cnsm2027-study
gpu-s2-0137,cnsm-gpu-01,2026-07-29T16:46:12+00:00,disk_io_contention,524,size=2G iodepth=32 numjobs=2,cnsm2027-study
gpu-s2-0138,cnsm-gpu-01,2026-07-29T18:07:41+00:00,gpu_utilization_spike,402,matrix_size=10240,cnsm2027-study
gpu-s2-0139,cnsm-gpu-01,2026-07-29T20:12:51+00:00,data_loader_bottleneck,810,size=1G thinktime_us=1000 numjobs=8,cnsm2027-study
gpu-s2-0140,cnsm-gpu-01,2026-07-29T21:07:39+00:00,batch_inference_overload,436,concurrency=6 infer_batch=128,cnsm2027-study
gpu-s2-0141,cnsm-gpu-01,2026-07-30T08:44:44+00:00,gpu_memory_pressure,1167,fraction=0.9,cnsm2027-study
gpu-s2-0142,cnsm-gpu-01,2026-07-30T09:08:21+00:00,gpu_utilization_spike,1292,matrix_size=10240,cnsm2027-study
gpu-s2-0143,cnsm-gpu-01,2026-07-30T10:38:40+00:00,batch_inference_overload,544,concurrency=6 infer_batch=128,cnsm2027-study
gpu-s2-0144,cnsm-gpu-01,2026-07-30T11:08:38+00:00,data_loader_bottleneck,458,size=1G thinktime_us=4000 numjobs=8,cnsm2027-study
gpu-s2-0145,cnsm-gpu-01,2026-07-30T14:04:03+00:00,cpu_contention_during_training,540,cpu=0 load=90,cnsm2027-study
gpu-s2-0146,cnsm-gpu-01,2026-07-30T19:54:39+00:00,gpu_utilization_spike,987,matrix_size=8192,cnsm2027-study
gpu-s2-0147,cnsm-gpu-01,2026-07-30T20:26:43+00:00,disk_io_contention,853,size=2G iodepth=16 numjobs=2,cnsm2027-study
gpu-s2-0148,cnsm-gpu-01,2026-07-31T09:59:40+00:00,cpu_contention_during_training,725,cpu=0 load=80,cnsm2027-study
gpu-s2-0149,cnsm-gpu-01,2026-07-31T10:14:58+00:00,gpu_utilization_spike,723,matrix_size=8192,cnsm2027-study
gpu-s2-0150,cnsm-gpu-01,2026-07-31T11:26:15+00:00,data_loader_bottleneck,1097,size=1G thinktime_us=4000 numjobs=4,cnsm2027-study
gpu-s2-0151,cnsm-gpu-01,2026-07-31T15:41:41+00:00,gpu_memory_pressure,1779,fraction=0.85,cnsm2027-study
gpu-s2-0152,cnsm-gpu-01,2026-07-31T17:16:35+00:00,batch_inference_overload,788,concurrency=4 infer_batch=128,cnsm2027-study
gpu-s2-0153,cnsm-gpu-01,2026-07-31T18:34:06+00:00,disk_io_contention,605,size=2G iodepth=32 numjobs=4,cnsm2027-study
gpu-s2-0154,cnsm-gpu-01,2026-07-31T21:09:41+00:00,gpu_utilization_spike,1402,matrix_size=10240,cnsm2027-study
gpu-s2-0155,cnsm-gpu-01,2026-08-01T06:54:55+00:00,data_loader_bottleneck,1783,size=1G thinktime_us=1000 numjobs=8,cnsm2027-study
gpu-s2-0156,cnsm-gpu-01,2026-08-01T10:22:54+00:00,gpu_memory_pressure,861,fraction=0.9,cnsm2027-study
gpu-s2-0157,cnsm-gpu-01,2026-08-01T11:32:13+00:00,gpu_utilization_spike,1393,matrix_size=6144,cnsm2027-study
gpu-s2-0158,cnsm-gpu-01,2026-08-01T13:10:17+00:00,batch_inference_overload,703,concurrency=8 infer_batch=64,cnsm2027-study
gpu-s2-0159,cnsm-gpu-01,2026-08-01T13:24:33+00:00,gpu_utilization_spike,471,matrix_size=10240,cnsm2027-study
gpu-s2-0160,cnsm-gpu-01,2026-08-01T14:30:55+00:00,cpu_contention_during_training,738,cpu=0 load=80,cnsm2027-study
gpu-s2-0161,cnsm-gpu-01,2026-08-01T16:07:48+00:00,disk_io_contention,1187,size=2G iodepth=16 numjobs=4,cnsm2027-study
gpu-s2-0162,cnsm-gpu-01,2026-08-02T08:04:56+00:00,data_loader_bottleneck,1263,size=1G thinktime_us=1000 numjobs=4,cnsm2027-study
gpu-s2-0163,cnsm-gpu-01,2026-08-02T10:21:07+00:00,gpu_utilization_spike,1016,matrix_size=6144,cnsm2027-study
gpu-s2-0164,cnsm-gpu-01,2026-08-02T11:21:52+00:00,gpu_utilization_spike,1631,matrix_size=6144,cnsm2027-study
gpu-s2-0165,cnsm-gpu-01,2026-08-02T15:39:06+00:00,batch_inference_overload,341,concurrency=4 infer_batch=64,cnsm2027-study
gpu-s2-0166,cnsm-gpu-01,2026-08-02T17:34:51+00:00,cpu_contention_during_training,504,cpu=0 load=80,cnsm2027-study
gpu-s2-0167,cnsm-gpu-01,2026-08-02T19:40:28+00:00,disk_io_contention,936,size=2G iodepth=16 numjobs=2,cnsm2027-study
gpu-s2-0168,cnsm-gpu-01,2026-08-02T20:30:51+00:00,gpu_memory_pressure,858,fraction=0.85,cnsm2027-study
gpu-s2-0169,cnsm-gpu-01,2026-08-03T06:44:51+00:00,batch_inference_overload,410,concurrency=8 infer_batch=64,cnsm2027-study
gpu-s2-0170,cnsm-gpu-01,2026-08-03T08:21:03+00:00,data_loader_bottleneck,938,size=1G thinktime_us=4000 numjobs=8,cnsm2027-study
gpu-s2-0171,cnsm-gpu-01,2026-08-03T12:45:42+00:00,disk_io_contention,706,size=2G iodepth=16 numjobs=2,cnsm2027-study
gpu-s2-0172,cnsm-gpu-01,2026-08-03T16:22:07+00:00,gpu_utilization_spike,1512,matrix_size=10240,cnsm2027-study
gpu-s2-0173,cnsm-gpu-01,2026-08-03T17:25:34+00:00,gpu_utilization_spike,1584,matrix_size=6144,cnsm2027-study
gpu-s2-0174,cnsm-gpu-01,2026-08-03T18:31:38+00:00,gpu_memory_pressure,808,fraction=0.9,cnsm2027-study
gpu-s2-0175,cnsm-gpu-01,2026-08-03T20:18:41+00:00,cpu_contention_during_training,1091,cpu=0 load=90,cnsm2027-study
gpu-s2-0176,cnsm-gpu-01,2026-08-04T07:34:39+00:00,cpu_contention_during_training,312,cpu=0 load=90,cnsm2027-study
gpu-s2-0177,cnsm-gpu-01,2026-08-04T10:35:20+00:00,gpu_utilization_spike,1303,matrix_size=6144,cnsm2027-study
gpu-s2-0178,cnsm-gpu-01,2026-08-04T11:24:04+00:00,data_loader_bottleneck,1187,size=1G thinktime_us=2000 numjobs=8,cnsm2027-study
gpu-s2-0179,cnsm-gpu-01,2026-08-04T12:44:44+00:00,gpu_utilization_spike,1748,matrix_size=6144,cnsm2027-study
gpu-s2-0180,cnsm-gpu-01,2026-08-04T15:19:35+00:00,gpu_memory_pressure,1491,fraction=0.8,cnsm2027-study
gpu-s2-0181,cnsm-gpu-01,2026-08-04T18:37:49+00:00,batch_inference_overload,834,concurrency=8 infer_batch=128,cnsm2027-study
gpu-s2-0182,cnsm-gpu-01,2026-08-04T21:25:03+00:00,disk_io_contention,930,size=2G iodepth=32 numjobs=4,cnsm2027-study
gpu-s2-0183,cnsm-gpu-01,2026-08-05T07:33:30+00:00,gpu_utilization_spike,988,matrix_size=6144,cnsm2027-study
gpu-s2-0184,cnsm-gpu-01,2026-08-05T10:40:57+00:00,data_loader_bottleneck,1312,size=1G thinktime_us=2000 numjobs=4,cnsm2027-study
gpu-s2-0185,cnsm-gpu-01,2026-08-05T11:05:57+00:00,cpu_contention_during_training,799,cpu=0 load=80,cnsm2027-study
gpu-s2-0186,cnsm-gpu-01,2026-08-05T14:21:34+00:00,batch_inference_overload,663,concurrency=6 infer_batch=128,cnsm2027-study
gpu-s2-0187,cnsm-gpu-01,2026-08-05T16:04:21+00:00,gpu_utilization_spike,872,matrix_size=10240,cnsm2027-study
gpu-s2-0188,cnsm-gpu-01,2026-08-05T17:33:38+00:00,disk_io_contention,1018,size=2G iodepth=16 numjobs=4,cnsm2027-study
gpu-s2-0189,cnsm-gpu-01,2026-08-05T20:52:42+00:00,gpu_memory_pressure,1658,fraction=0.8,cnsm2027-study
gpu-s2-0190,cnsm-gpu-01,2026-08-06T08:11:47+00:00,gpu_utilization_spike,902,matrix_size=6144,cnsm2027-study
gpu-s2-0191,cnsm-gpu-01,2026-08-06T10:28:50+00:00,gpu_memory_pressure,1428,fraction=0.9,cnsm2027-study
gpu-s2-0192,cnsm-gpu-01,2026-08-06T11:17:25+00:00,gpu_utilization_spike,798,matrix_size=8192,cnsm2027-study
